Timestamp,Ngp,Npt,HPC_ASV_Command,HPC_ASV_Position,HPC_Surge_Margin,HPC_ASC_Flow_DP,HPC_Suction_Press,HPC_Discharge_Press
2024-05-01 00:00:00+00:00,94.9292,84.761,94.8982,95.038,11.9828,81.3311,103.8782,267.394
2024-05-01 00:01:00+00:00,94.901,84.7723,94.7794,94.8786,10.9654,79.7182,103.9201,267.1697
2024-05-01 00:02:00+00:00,95.0053,84.7878,93.9631,94.1782,12.4532,81.6901,104.1026,267.071
2024-05-01 00:03:00+00:00,95.0053,84.817,94.4519,94.6474,13.015,82.6946,104.1452,267.4785
2024-05-01 00:04:00+00:00,94.9901,84.8255,94.5472,94.6474,12.2438,81.5754,104.2813,267.6602
2024-05-01 00:05:00+00:00,94.9497,84.8611,94.3563,94.6282,12.329,81.8573,104.0577,267.6154
2024-05-01 00:06:00+00:00,95.0227,84.9988,94.6083,94.7095,13.1209,83.0584,103.8356,267.3933
2024-05-01 00:07:00+00:00,94.978,85.0465,94.6804,94.981,12.0271,81.3174,103.7421,267.0349
2024-05-01 00:08:00+00:00,94.8625,84.8552,93.4604,93.3164,11.5957,80.0202,104.142,266.393
2024-05-01 00:09:00+00:00,94.8841,84.9314,92.8423,93.0026,11.7623,80.2772,104.4182,266.8084
2024-05-01 00:10:00+00:00,95.1348,85.2203,92.9757,92.8033,14.3244,84.1823,104.6453,267.4651
2024-05-01 00:11:00+00:00,95.5056,85.6205,96.1528,96.0703,15.1642,87.1959,103.9939,269.4913
2024-05-01 00:12:00+00:00,95.2849,85.4836,97.2411,97.3181,11.9685,83.0631,103.4295,269.5426
2024-05-01 00:13:00+00:00,95.1219,85.2388,96.1191,96.1603,11.1332,81.3645,103.5192,268.6474
2024-05-01 00:14:00+00:00,95.1166,85.0711,93.9556,93.9086,13.4975,83.633,103.8782,267.1264
2024-05-01 00:15:00+00:00,95.1014,85.0969,94.3345,94.2666,13.1199,82.8928,103.787,266.8997
2024-05-01 00:16:00+00:00,95.0632,85.1401,95.2126,95.2841,11.6058,81.132,103.4751,267.3903
2024-05-01 00:17:00+00:00,95.0417,84.9966,95.6357,95.7692,12.2011,81.8119,103.609,267.2115
2024-05-01 00:18:00+00:00,94.8897,84.8975,95.2572,95.4162,10.7584,79.7308,103.5133,267.0859
2024-05-01 00:19:00+00:00,94.9124,84.8761,93.7365,93.9021,10.9906,79.5,103.8782,266.6222
2024-05-01 00:20:00+00:00,94.9792,84.9948,94.3026,94.2218,12.4056,81.7308,103.8363,266.9872
2024-05-01 00:21:00+00:00,95.0113,84.9859,94.6399,94.9628,12.4403,81.8605,103.7376,266.9872
2024-05-01 00:22:00+00:00,95.0155,84.9376,94.0444,94.2222,12.9083,82.3671,104.0607,267.071
2024-05-01 00:23:00+00:00,94.8978,85.0034,94.277,94.7436,10.7813,79.5654,103.7944,267.2265
2024-05-01 00:24:00+00:00,94.8181,84.8874,93.5653,94.4803,10.341,78.5626,103.5551,266.2722
2024-05-01 00:25:00+00:00,94.9396,84.8845,93.1072,93.4709,12.5415,81.3058,104.1444,266.2992
2024-05-01 00:26:00+00:00,95.1719,85.1423,94.1089,94.192,13.7717,83.6313,104.1994,267.3391
2024-05-01 00:27:00+00:00,95.1352,85.2265,95.0064,94.8345,12.2432,82.11,103.5632,267.7033
2024-05-01 00:28:00+00:00,94.9116,85.0458,94.9892,94.9816,11.2004,80.3346,103.2964,266.8503
2024-05-01 00:29:00+00:00,95.0026,85.0542,93.7558,93.7051,12.8401,82.1492,103.7436,266.4039
2024-05-01 00:30:00+00:00,94.9893,85.0627,93.7972,93.9163,13.4439,83.0324,104.1026,266.8054
2024-05-01 00:31:00+00:00,94.976,85.083,94.1392,94.0705,12.5159,81.808,104.0128,267.1218
2024-05-01 00:32:00+00:00,94.9627,85.0977,94.4536,94.5833,11.2543,80.4752,103.6538,267.4927
2024-05-01 00:33:00+00:00,94.9199,84.8939,94.2365,94.356,11.1407,79.8086,103.6957,266.6372
2024-05-01 00:34:00+00:00,94.7889,84.7577,93.303,93.2986,11.2772,79.4761,103.9632,266.0898
2024-05-01 00:35:00+00:00,94.8882,84.826,93.1038,93.2391,12.0044,80.3685,104.3269,266.3612
2024-05-01 00:36:00+00:00,95.1271,85.0609,94.1899,94.2316,13.4611,83.155,104.2364,267.4359
2024-05-01 00:37:00+00:00,95.089,85.0237,94.0356,94.1048,12.7129,82.1825,104.0139,267.3002
2024-05-01 00:38:00+00:00,95.2001,85.0622,92.8646,92.5665,14.4321,84.2522,104.3733,266.9854
2024-05-01 00:39:00+00:00,95.1444,85.2527,94.8021,94.6475,12.8952,83.0271,103.613,267.803
2024-05-01 00:40:00+00:00,95.0353,85.1322,95.2313,95.0817,11.9539,81.5864,103.4679,267.3975
2024-05-01 00:41:00+00:00,94.9713,84.9738,94.4815,94.391,11.6746,80.9405,103.6954,267.2115
2024-05-01 00:42:00+00:00,94.9605,84.9255,94.0017,94.2962,11.3007,80.1839,103.8782,267.087
2024-05-01 00:43:00+00:00,94.9498,84.938,93.9722,93.9849,11.9659,80.8169,103.8782,266.58
2024-05-01 00:44:00+00:00,94.9391,84.9697,94.2674,94.4551,12.2152,81.24,103.8782,266.7628
2024-05-01 00:45:00+00:00,94.9284,84.8519,94.1606,94.2501,11.2576,79.7871,103.8782,266.6362
2024-05-01 00:46:00+00:00,94.9543,84.8327,93.5022,93.4042,12.7327,81.6176,103.9235,266.2255
2024-05-01 00:47:00+00:00,95.092,85.0222,93.8079,93.6999,12.229,81.0764,104.0573,266.8081
2024-05-01 00:48:00+00:00,95.0971,85.1076,94.1672,94.3901,11.8612,81.043,103.8358,267.072
2024-05-01 00:49:00+00:00,95.1153,85.1285,94.5516,94.6945,11.9183,81.3044,103.6857,267.3721
2024-05-01 00:50:00+00:00,95.2176,85.1754,93.6325,93.5396,13.029,82.6927,103.8782,267.1532
2024-05-01 00:51:00+00:00,95.2968,85.3241,94.9467,94.9984,13.1406,83.369,103.836,267.969
2024-05-01 00:52:00+00:00,95.234,85.3895,95.5736,95.5384,11.0817,80.7045,103.5634,268.1071
2024-05-01 00:53:00+00:00,95.1442,85.3355,95.1473,95.1759,11.4259,80.929,103.3386,267.2115
2024-05-01 00:54:00+00:00,95.242,85.3003,94.1556,94.001,13.7712,83.9433,103.836,267.1693
2024-05-01 00:55:00+00:00,95.2559,85.3576,94.4403,94.6297,13.6495,83.7112,103.6093,266.8982
2024-05-01 00:56:00+00:00,95.1065,85.2589,93.7754,93.9163,13.1924,82.9538,103.5139,266.6651
